x,y
427381.5,914119.5
427384.5,914119.5
427387.5,914119.5
427390.5,914119.5
427393.5,914119.5
427396.5,914119.5
427399.5,914119.5
427402.5,914119.5
427405.5,914119.5
427408.5,914119.5
427411.5,914119.5
427414.5,914119.5
427417.5,914119.5
427420.5,914119.5
427423.5,914119.5
427426.5,914119.5
427429.5,914119.5
427432.5,914119.5
427435.5,914119.5
427438.5,914119.5
427441.5,914119.5
427444.5,914119.5
427447.5,914119.5
427450.5,914119.5
427453.5,914119.5
427456.5,914119.5
427459.5,914119.5
427462.5,914119.5
427465.5,914119.5
427468.5,914119.5
427471.5,914119.5
427474.5,914119.5
427477.5,914119.5
427480.5,914119.5
427483.5,914119.5
427486.5,914119.5
427489.5,914119.5
427492.5,914119.5
427495.5,914119.5
427498.5,914119.5
427501.5,914119.5
427504.5,914119.5
427507.5,914119.5
427510.5,914119.5
427513.5,914119.5
427516.5,914119.5
427519.5,914119.5
427522.5,914119.5
427525.5,914119.5
427528.5,914119.5
427531.5,914119.5
427534.5,914119.5
427537.5,914119.5
427540.5,914119.5
427543.5,914119.5
427546.5,914119.5
427549.5,914119.5
427552.5,914119.5
427555.5,914119.5
427558.5,914119.5
427561.5,914119.5
427564.5,914119.5
427567.5,914119.5
427570.5,914119.5
427573.5,914119.5
427576.5,914119.5
427579.5,914119.5
427582.5,914119.5
427585.5,914119.5
427588.5,914119.5
427591.5,914119.5
427594.5,914119.5
427597.5,914119.5
427600.5,914119.5
427603.5,914119.5
427606.5,914119.5
427609.5,914119.5
427612.5,914119.5
427615.5,914119.5
427618.5,914119.5
427621.5,914119.5
427624.5,914119.5
427627.5,914119.5
427630.5,914119.5
427633.5,914119.5
427636.5,914119.5
427639.5,914119.5
427642.5,914119.5
427645.5,914119.5
427648.5,914119.5
427651.5,914119.5
427654.5,914119.5
427657.5,914119.5
427660.5,914119.5
427663.5,914119.5
427666.5,914119.5
427669.5,914119.5
427672.5,914119.5
427675.5,914119.5
427678.5,914119.5
427681.5,914119.5
427684.5,914119.5
427687.5,914119.5
427690.5,914119.5
427693.5,914119.5
427696.5,914119.5
427699.5,914119.5
427702.5,914119.5
427705.5,914119.5
427708.5,914119.5
427711.5,914119.5
427714.5,914119.5
427717.5,914119.5
427720.5,914119.5
427723.5,914119.5
427726.5,914119.5
427729.5,914119.5
427732.5,914119.5
427735.5,914119.5
427738.5,914119.5
427741.5,914119.5
427744.5,914119.5
427747.5,914119.5
427750.5,914119.5
427753.5,914119.5
427756.5,914119.5
427759.5,914119.5
427762.5,914119.5
427765.5,914119.5
427768.5,914119.5
427771.5,914119.5
426568.5,914116.5
426571.5,914116.5
426574.5,914116.5
426577.5,914116.5
426580.5,914116.5
426583.5,914116.5
426586.5,914116.5
426589.5,914116.5
426592.5,914116.5
426595.5,914116.5
426598.5,914116.5
426601.5,914116.5
426604.5,914116.5
426607.5,914116.5
426610.5,914116.5
426613.5,914116.5
426616.5,914116.5
426619.5,914116.5
426622.5,914116.5
426625.5,914116.5
426628.5,914116.5
426631.5,914116.5
426634.5,914116.5
426637.5,914116.5
426640.5,914116.5
426643.5,914116.5
426646.5,914116.5
426649.5,914116.5
426652.5,914116.5
426655.5,914116.5
426658.5,914116.5
426661.5,914116.5
426664.5,914116.5
426667.5,914116.5
426670.5,914116.5
426673.5,914116.5
426676.5,914116.5
426679.5,914116.5
426682.5,914116.5
426685.5,914116.5
426688.5,914116.5
426691.5,914116.5
426694.5,914116.5
426697.5,914116.5
426700.5,914116.5
426703.5,914116.5
426706.5,914116.5
426709.5,914116.5
426712.5,914116.5
426715.5,914116.5
426718.5,914116.5
426721.5,914116.5
426724.5,914116.5
426727.5,914116.5
426730.5,914116.5
426733.5,914116.5
426736.5,914116.5
426739.5,914116.5
426742.5,914116.5
426745.5,914116.5
426748.5,914116.5
426751.5,914116.5
426754.5,914116.5
